,LR,DO,n_hidden,mean acc,std acc
728,0.14,0.4,64,0.8158,0.023099999999999985
729,0.14500000000000002,0.4,64,0.8167249999999999,0.03510140666696992
730,0.15,0.4,64,0.7288,0.146062328305419
731,0.155,0.4,64,0.7913,0.02908367239534925
732,0.16,0.4,64,0.6137,0.2488989328020512
733,0.165,0.4,64,0.6488999999999999,0.11426475287681676
734,0.17,0.4,64,0.500525,0.2749973454417333
735,0.17500000000000002,0.4,64,0.692175,0.14542288764152636
736,0.18000000000000002,0.4,64,0.49695,0.19183346618877534
737,0.185,0.4,64,0.652175,0.16634171530316738
738,0.19,0.4,64,0.51925,0.2365783168424359
739,0.195,0.4,64,0.33942500000000003,0.13728015606780172
740,0.2,0.4,64,0.35407500000000003,0.12062132377817779
741,0.20500000000000002,0.4,64,0.49145000000000005,0.08196945315176869
742,0.21000000000000002,0.4,64,0.48464999999999997,0.07204583610452447
743,0.215,0.4,64,0.47415,0.04450578614068064
744,0.22,0.4,64,0.55845,0.14213485234100748
745,0.225,0.4,64,0.48557500000000003,0.06883225079859004
746,0.23,0.4,64,0.45077500000000004,0.005595980700467078
747,0.23500000000000001,0.4,64,0.52035,0.1371792258324853
748,0.24000000000000002,0.4,64,0.58855,0.16691143984161183
749,0.245,0.4,64,0.45077500000000004,0.00248671470016164
750,0.25,0.4,64,0.49169999999999997,0.1662503496236925
751,0.255,0.4,64,0.40069999999999995,0.10139337379730491
752,0.26,0.4,64,0.40255,0.10128328465250325
753,0.265,0.4,64,0.542225,0.23549940817335402
754,0.27,0.4,64,0.29607500000000003,0.12218061937148625
755,0.275,0.4,64,0.3371,0.11460023996484474
756,0.28,0.4,64,0.33345,0.1370228448106373
757,0.28500000000000003,0.4,64,0.41092500000000004,0.20580398137548264
758,0.29000000000000004,0.4,64,0.229925,0.11537494853736664
759,0.295,0.4,64,0.34127500000000005,0.13844577909781142
760,0.3,0.4,64,0.350125,0.12387190964863665
761,0.305,0.4,64,0.473775,0.19209915083102266
762,0.31,0.4,64,0.153925,0.044514786869084305
763,0.315,0.4,64,0.2618,0.16175109350480446
764,0.32,0.4,64,0.230825,0.115260590619691
765,0.325,0.4,64,0.22945000000000002,0.1158284183609532
766,0.33,0.4,64,0.261125,0.15394351642729226
767,0.335,0.4,64,0.265875,0.15161041768295475
768,0.34,0.4,64,0.149225,0.05122819048141365
769,0.34500000000000003,0.4,64,0.23762500000000003,0.10755832719971056
770,0.35000000000000003,0.4,64,0.26407499999999995,0.11169040916748402
771,0.35500000000000004,0.4,64,0.22272499999999998,0.05624935555186389
772,0.36,0.4,64,0.2637,0.11122905982700744
773,0.365,0.4,64,0.19845,0.13569219763862622
774,0.37,0.4,64,0.20364999999999997,0.12101454974506164
775,0.375,0.4,64,0.28932499999999994,0.1341381424129617
776,0.38,0.4,64,0.204525,0.13138853165326111
777,0.385,0.4,64,0.28495,0.1868946327479738
778,0.39,0.4,64,0.19860000000000003,0.1295421360021518
779,0.395,0.4,64,0.34009999999999996,0.13741036623923247
780,0.4,0.4,64,0.2684,0.15501952296404475
781,0.405,0.4,64,0.20595,0.09872729485810904
782,0.41000000000000003,0.4,64,0.18625,0.0400082022840317
783,0.41500000000000004,0.4,64,0.216975,0.11924579133034424
784,0.42000000000000004,0.4,64,0.20322500000000004,0.1288097773851038
785,0.425,0.4,64,0.119475,0.049655903475820475
786,0.43,0.4,64,0.3131749999999999,0.16860265048331832
787,0.435,0.4,64,0.19649999999999998,0.13699171964027607
788,0.44,0.4,64,0.16882499999999998,0.10975292137341948
789,0.445,0.4,64,0.26444999999999996,0.1551675223750125
790,0.45,0.4,64,0.21665,0.11790110792524384
791,0.455,0.4,64,0.216025,0.1283805475919152
792,0.46,0.4,64,0.15842499999999998,0.037880370906315054
793,0.465,0.4,64,0.265925,0.15559761003948616
794,0.47000000000000003,0.4,64,0.192875,0.13656328661100683
795,0.47500000000000003,0.4,64,0.23807499999999998,0.10870949245581088
796,0.48000000000000004,0.4,64,0.139675,0.04272313483348337
797,0.485,0.4,64,0.298425,0.23303655292678874
798,0.49,0.4,64,0.22702499999999998,0.11023861619233072
799,0.495,0.4,64,0.21527500000000002,0.11744164508384577
800,0.5,0.4,64,0.21632500000000002,0.12429736521744941
801,0.005,0.45,64,0.45085,0.004339786861125781
802,0.01,0.45,64,0.62035,0.003348880409928035
803,0.015,0.45,64,0.718475,0.007925985743111095
804,0.02,0.45,64,0.72725,0.004677739838853792
805,0.025,0.45,64,0.7640750000000001,0.005369823088333536
806,0.030000000000000002,0.45,64,0.8031500000000001,0.017762917834635177
807,0.034999999999999996,0.45,64,0.8328749999999999,0.014726464273545096
808,0.04,0.45,64,0.8475249999999999,0.0049506312728782665
809,0.045,0.45,64,0.84465,0.007886856154387506
810,0.049999999999999996,0.45,64,0.8529500000000001,0.007585594900863095
811,0.055,0.45,64,0.8568999999999999,0.004346262762420132
812,0.06,0.45,64,0.852975,0.0020697222035819373
813,0.065,0.45,64,0.853375,0.005922942680796417
814,0.07,0.45,64,0.8523250000000001,0.006499807689462839
815,0.07500000000000001,0.45,64,0.854275,0.006236184731067534
816,0.08,0.45,64,0.8483,0.004726653149957162
817,0.085,0.45,64,0.8454,0.007085372255569917
818,0.09000000000000001,0.45,64,0.8483,0.004111417030659874
819,0.095,0.45,64,0.833675,0.01766168168663447
820,0.1,0.45,64,0.837425,0.0036525675900659195
821,0.10500000000000001,0.45,64,0.8292999999999999,0.01717603708659245
822,0.11,0.45,64,0.8340500000000001,0.002243880567231685
823,0.115,0.45,64,0.8362,0.01526834961611766
824,0.12000000000000001,0.45,64,0.8378249999999999,0.009770043500414919
825,0.125,0.45,64,0.8334999999999999,0.007225389262870226
826,0.13,0.45,64,0.8107749999999999,0.026366693004622327
827,0.135,0.45,64,0.8219,0.006509800304156787
828,0.14,0.45,64,0.8229,0.021861267117896006
829,0.14500000000000002,0.45,64,0.805875,0.014215528481206764
830,0.15,0.45,64,0.7421249999999999,0.14707729685440918
831,0.155,0.45,64,0.7250000000000001,0.14261997142756688
832,0.16,0.45,64,0.5887499999999999,0.2162511271646925
833,0.165,0.45,64,0.5916250000000001,0.174595156719767
834,0.17,0.45,64,0.48877499999999996,0.26667351762032915
835,0.17500000000000002,0.45,64,0.45635000000000003,0.2365886910864507
836,0.18000000000000002,0.45,64,0.5473250000000001,0.2377499290220714
837,0.185,0.45,64,0.350375,0.12215397558000313
838,0.19,0.45,64,0.299175,0.12222531959459136
839,0.195,0.45,64,0.557575,0.14202175449557017
840,0.2,0.45,64,0.40065,0.09935754249175047
841,0.20500000000000002,0.45,64,0.450775,0.005433346114504399
842,0.21000000000000002,0.45,64,0.5058,0.20188884008285354
843,0.215,0.45,64,0.40127500000000005,0.10101449153463081
844,0.22,0.45,64,0.515525,0.1275718523029277
845,0.225,0.45,64,0.450775,0.006913031173081745
846,0.23,0.45,64,0.6113000000000001,0.16118495975121253
847,0.23500000000000001,0.45,64,0.401225,0.1280978971334034
848,0.24000000000000002,0.45,64,0.4744499999999999,0.04432469684047481
849,0.245,0.45,64,0.5096499999999999,0.11936515404421845
850,0.25,0.45,64,0.35042500000000004,0.1244022859516657
851,0.255,0.45,64,0.515575,0.13183328961229784
852,0.26,0.45,64,0.249675,0.09741430849726337
853,0.265,0.45,64,0.37435,0.10155446198961422
854,0.27,0.45,64,0.4726,0.19623452805253205
855,0.275,0.45,64,0.31635,0.12230978599441665
856,0.28,0.45,64,0.38815000000000005,0.12186735617055128
857,0.28500000000000003,0.45,64,0.40260000000000007,0.0989720099321015
858,0.29000000000000004,0.45,64,0.2762,0.14282411823638191
859,0.295,0.45,64,0.38317500000000004,0.09876460651468216
860,0.3,0.45,64,0.2529,0.16659339347645213
861,0.305,0.45,64,0.3872,0.12467348856112112
862,0.31,0.45,64,0.39825,0.09957446961947625
863,0.315,0.45,64,0.43475,0.1355025830012107
864,0.32,0.45,64,0.31957499999999994,0.11267970646926624
865,0.325,0.45,64,0.30157500000000004,0.12175258210814259
866,0.33,0.45,64,0.22952499999999998,0.11346173363738102
867,0.335,0.45,64,0.237425,0.10814653253803379
868,0.34,0.45,64,0.31272500000000003,0.19339670046306373
869,0.34500000000000003,0.45,64,0.16462500000000002,0.025025362135241917
870,0.35000000000000003,0.45,64,0.282125,0.14319462280407041
871,0.35500000000000004,0.45,64,0.26407499999999995,0.11001052790528731
872,0.36,0.45,64,0.26470000000000005,0.10770517048870032
873,0.365,0.45,64,0.29235,0.13566326418747265
874,0.37,0.45,64,0.185475,0.05950595558429425
875,0.375,0.45,64,0.290325,0.13422047161293987
876,0.38,0.45,64,0.2021,0.12649758890982862
877,0.385,0.45,64,0.28657499999999997,0.134433408236197
878,0.39,0.45,64,0.2144,0.030303506397775164
879,0.395,0.45,64,0.241875,0.10843751080691587
880,0.4,0.45,64,0.22397499999999998,0.11008588692470984
881,0.405,0.45,64,0.22785000000000002,0.125738130652559
882,0.41000000000000003,0.45,64,0.278775,0.14835732624309458
883,0.41500000000000004,0.45,64,0.213075,0.1249961649411693
