,2lc,LR,DO,max_df,model,mean f1,std f1
254,classifier_3,0.005,0.7,0.7,EGCN,0.6861809751136461,0.009754837192344079
255,classifier_3,0.01,0.7,0.7,EGCN,0.6818587911510017,0.009440288993962589
256,classifier_3,0.05,0.7,0.7,EGCN,0.6761610186849639,0.00947271783698434
257,classifier_4,0.001,0.5,0.7,GCN,0.2511959400656308,0.002063514293261604
258,classifier_4,0.005,0.5,0.7,GCN,0.6242866691099461,0.032577022487086466
259,classifier_4,0.01,0.5,0.7,GCN,0.6319076100139204,0.02183256613013343
260,classifier_4,0.05,0.5,0.7,GCN,0.6595795136714169,0.044199386694251386
261,classifier_4,0.001,0.7,0.7,GCN,0.24006280229283158,0.003538189224528692
262,classifier_4,0.005,0.7,0.7,GCN,0.6019945867344839,0.013400695974447608
263,classifier_4,0.01,0.7,0.7,GCN,0.6700882213268554,0.02248382629138292
264,classifier_4,0.05,0.7,0.7,GCN,0.6865230336296969,0.021827288903286272
265,classifier_4,0.001,0.5,0.7,EGCN,0.6318026543217489,0.015379022112597883
266,classifier_4,0.005,0.5,0.7,EGCN,0.6624181934276007,0.029564773090981634
267,classifier_4,0.01,0.5,0.7,EGCN,0.6648736648881804,0.018386694225908183
268,classifier_4,0.05,0.5,0.7,EGCN,0.6433086360339826,0.05032275110836066
269,classifier_4,0.001,0.7,0.7,EGCN,0.6722120294352316,0.02035241919241935
270,classifier_4,0.005,0.7,0.7,EGCN,0.63227621640902,0.0187276151380895
271,classifier_4,0.01,0.7,0.7,EGCN,0.6274483842998347,0.02279734197256827
272,classifier_4,0.05,0.7,0.7,EGCN,0.6164937628184389,0.024510098689185723
273,classifier_5,0.001,0.5,0.7,GCN,0.2913113905090701,0.012034311846993065
274,classifier_5,0.005,0.5,0.7,GCN,0.5365045752327938,0.010512091861616415
275,classifier_5,0.01,0.5,0.7,GCN,0.5339161135094318,0.006897059316043228
276,classifier_5,0.05,0.5,0.7,GCN,0.5430247858389725,0.009350649325572145
277,classifier_5,0.001,0.7,0.7,GCN,0.2393391767158465,0.010682958655210734
278,classifier_5,0.005,0.7,0.7,GCN,0.5388898045682932,0.010248715283495734
279,classifier_5,0.01,0.7,0.7,GCN,0.544880139354566,0.000625714595973712
280,classifier_5,0.05,0.7,0.7,GCN,0.5481602001780242,0.007136152872309293
281,classifier_5,0.001,0.5,0.7,EGCN,0.5269208245465361,0.008538536971822398
282,classifier_5,0.005,0.5,0.7,EGCN,0.527722941688095,0.005946755321405548
283,classifier_5,0.01,0.5,0.7,EGCN,0.5277886247409108,0.010743438805540309
284,classifier_5,0.05,0.5,0.7,EGCN,0.44202310769661307,0.017712573724599348
285,classifier_5,0.001,0.7,0.7,EGCN,0.5374045346343536,0.007956789636774235
286,classifier_5,0.005,0.7,0.7,EGCN,0.5477430265055605,0.0047862218966582964
287,classifier_5,0.01,0.7,0.7,EGCN,0.5405937670156434,0.003069907800489372
288,classifier_5,0.05,0.7,0.7,EGCN,0.4914911883426875,0.030490146305038837
